year,month,day,hour,minute,web01prdjc,web02prdjc,web01stgjc,webo2stgjc
2013,07,11,16,55,up,up,,
2013,07,11,16,56,up,up,,
2013,07,11,16,57,up,up,,
2013,07,11,16,58,up,up,,
2013,07,11,16,59,up,up,,
2013,07,11,17,00,up,up,,
2013,07,11,17,01,up,up,,
2013,07,11,17,02,up,up,,
2013,07,11,17,03,up,up,,
2013,07,11,17,04,up,up,,
2013,07,11,17,05,up,up,,
2013,07,11,17,06,up,up,,
2013,07,11,17,07,up,up,,
2013,07,11,17,08,up,up,,
2013,07,11,17,09,up,up,,
2013,07,11,17,10,up,up,,
2013,07,11,17,11,up,up,,
2013,07,11,17,12,up,up,,
2013,07,11,17,13,up,up,,
2013,07,11,17,14,up,up,,
2013,07,11,17,15,up,up,,
2013,07,11,17,16,up,up,,
2013,07,11,17,17,up,up,,
2013,07,11,17,18,up,up,,
2013,07,11,17,19,up,up,,
2013,07,11,17,20,up,up,,
2013,07,11,17,21,up,up,,
2013,07,11,17,22,up,up,,
2013,07,11,17,23,up,up,,
2013,07,11,17,24,up,up,,
2013,07,11,17,25,up,up,,
2013,07,11,17,26,up,up,,
2013,07,11,17,27,up,up,,
2013,07,11,17,28,up,up,,
2013,07,11,17,29,up,up,,
2013,07,11,17,30,up,up,,
2013,07,11,17,31,up,up,,
2013,07,11,17,32,up,up,,
2013,07,11,17,33,up,up,,
2013,07,11,17,34,up,up,,
2013,07,11,17,35,up,up,,
2013,07,11,17,36,up,up,,
2013,07,11,17,37,up,up,,
2013,07,11,17,38,up,up,,
2013,07,11,17,39,up,up,,
2013,07,11,17,40,up,up,,
2013,07,11,17,41,up,up,,
2013,07,11,17,42,up,up,,
2013,07,11,17,43,up,up,,
2013,07,11,17,44,up,up,,
2013,07,11,17,45,up,up,,
2013,07,11,17,46,up,up,,
2013,07,11,17,47,up,up,,
2013,07,11,17,48,up,up,,
2013,07,11,17,49,up,up,,
2013,07,11,17,50,up,up,,
2013,07,11,17,51,up,up,,
2013,07,11,17,52,up,up,,
2013,07,11,17,53,up,up,,
2013,07,11,17,54,up,up,,
2013,07,11,17,55,up,up,,
2013,07,11,17,56,up,up,,
2013,07,11,17,57,up,up,,
2013,07,11,17,58,up,up,,
2013,07,11,17,59,up,up,,
2013,07,11,18,00,up,up,,
2013,07,11,18,01,up,up,,
2013,07,11,18,02,up,up,,
2013,07,11,18,03,up,up,,
2013,07,11,18,04,up,up,,
2013,07,11,18,05,up,up,,
2013,07,11,18,06,up,up,,
2013,07,11,18,07,up,up,,
2013,07,11,18,08,up,up,,
2013,07,11,18,09,up,up,,
2013,07,11,18,10,up,up,,
2013,07,11,18,11,up,up,,
2013,07,11,18,12,up,up,,
2013,07,11,18,13,up,up,,
2013,07,11,18,14,up,up,,
2013,07,11,18,15,up,up,,
2013,07,11,18,16,up,up,,
2013,07,11,18,17,up,up,,
2013,07,11,18,18,up,up,,
2013,07,11,18,19,up,up,,
2013,07,11,18,20,up,up,,
2013,07,11,18,21,up,up,,
2013,07,11,18,22,up,up,,
2013,07,11,18,23,up,up,,
2013,07,11,18,24,up,up,,
2013,07,11,18,25,up,up,,
2013,07,11,18,26,up,up,,
2013,07,11,18,27,up,up,,
2013,07,11,18,28,up,up,,
2013,07,11,18,29,up,up,,
2013,07,11,18,30,up,up,,
2013,07,11,18,31,up,up,,
2013,07,11,18,32,up,up,,
2013,07,11,18,33,up,up,,
2013,07,11,18,34,up,up,,
2013,07,11,18,35,up,up,,
2013,07,11,18,36,up,up,,
2013,07,11,18,37,up,up,,
2013,07,11,18,38,up,up,,
2013,07,11,18,39,up,up,,
2013,07,11,18,40,up,up,,
2013,07,11,18,41,up,up,,
2013,07,11,18,42,up,up,,
2013,07,11,18,43,up,up,,
2013,07,11,18,44,up,up,,
2013,07,11,18,45,up,up,,
2013,07,11,18,46,up,up,,
2013,07,11,18,47,up,up,,
2013,07,11,18,48,up,up,,
2013,07,11,18,49,up,up,,
2013,07,11,18,50,up,up,,
2013,07,11,18,51,up,up,,
2013,07,11,18,52,up,up,,
2013,07,11,18,53,up,up,,
2013,07,11,18,54,up,up,,
2013,07,11,18,55,up,up,,
2013,07,11,18,56,up,up,,
2013,07,11,18,57,up,up,,
2013,07,11,18,58,up,up,,
2013,07,11,18,59,up,up,,
2013,07,11,19,00,up,up,,
2013,07,11,19,01,up,up,,
2013,07,11,19,02,up,up,,
2013,07,11,19,03,up,up,,
2013,07,11,19,04,up,up,,
2013,07,11,19,05,up,up,,
2013,07,11,19,06,up,up,,
2013,07,11,19,07,up,up,,
2013,07,11,19,08,up,up,,
2013,07,11,19,09,up,up,,
2013,07,11,19,10,up,up,,
2013,07,11,19,11,up,up,,
2013,07,11,19,12,up,up,,
2013,07,11,19,13,up,up,,
2013,07,11,19,14,up,up,,
2013,07,11,19,15,up,up,,
2013,07,11,19,16,up,up,,
2013,07,11,19,17,up,up,,
2013,07,11,19,18,up,up,,
2013,07,11,19,19,up,up,,
2013,07,11,19,20,up,up,,
2013,07,11,19,21,up,up,,
2013,07,11,19,22,up,up,,
2013,07,11,19,23,up,up,,
2013,07,11,19,24,up,up,,
2013,07,11,19,25,up,up,,
2013,07,11,19,26,up,up,,
2013,07,11,19,27,up,up,,
2013,07,11,19,28,up,up,,
2013,07,11,19,29,up,up,,
2013,07,11,19,30,up,up,,
2013,07,11,19,31,up,up,,
2013,07,11,19,32,up,up,,
2013,07,11,19,33,up,up,,
2013,07,11,19,34,up,up,,
2013,07,11,19,35,up,up,,
2013,07,11,19,36,up,up,,
2013,07,11,19,37,up,up,,
2013,07,11,19,38,up,up,,
2013,07,11,19,39,up,up,,
2013,07,11,19,40,up,up,,
2013,07,11,19,41,up,up,,
2013,07,11,19,42,up,up,,
2013,07,11,19,43,up,up,,
2013,07,11,19,44,up,up,,
2013,07,11,19,45,up,up,,
2013,07,11,19,46,up,up,,
2013,07,11,19,47,up,up,,
2013,07,11,19,48,up,up,,
2013,07,11,19,49,up,up,,
2013,07,11,19,50,up,up,,
2013,07,11,19,51,up,up,,
2013,07,11,19,52,up,up,,
2013,07,11,19,53,up,up,,
2013,07,11,19,54,up,up,,
2013,07,11,19,55,up,up,,
2013,07,11,19,56,up,up,,
2013,07,11,19,57,up,up,,
2013,07,11,19,58,up,up,,
2013,07,11,19,59,up,up,,
2013,07,11,20,00,up,up,,
2013,07,11,20,01,up,up,,
2013,07,11,20,02,up,up,,
2013,07,11,20,03,up,up,,
2013,07,11,20,04,up,up,,
2013,07,11,20,05,up,up,,
2013,07,11,20,06,up,up,,
2013,07,11,20,07,up,up,,
2013,07,11,20,08,up,up,,
2013,07,11,20,09,up,up,,
2013,07,11,20,10,up,up,,
2013,07,11,20,11,up,up,,
2013,07,11,20,12,up,up,,
2013,07,11,20,13,up,up,,
2013,07,11,20,14,up,up,,
2013,07,11,20,15,up,up,,
2013,07,11,20,16,up,up,,
2013,07,11,20,17,up,up,,
2013,07,11,20,18,up,up,,
2013,07,11,20,19,up,up,,
2013,07,11,20,20,up,up,,
2013,07,11,20,21,up,up,,
2013,07,11,20,22,up,up,,
2013,07,11,20,23,up,up,,
2013,07,11,20,24,up,up,,
2013,07,11,20,25,up,up,,
2013,07,11,20,26,up,up,,
2013,07,11,20,27,up,up,,
2013,07,11,20,28,up,up,,
2013,07,11,20,29,up,up,,
2013,07,11,20,30,up,up,,
2013,07,11,20,31,up,up,,
2013,07,11,20,32,up,up,,
2013,07,11,20,33,up,up,,
2013,07,11,20,34,up,up,,
2013,07,11,20,35,up,up,,
2013,07,11,20,36,up,up,,
2013,07,11,20,37,up,up,,
2013,07,11,20,38,up,up,,
2013,07,11,20,39,up,up,,
2013,07,11,20,40,up,up,,
2013,07,11,20,41,up,up,,
2013,07,11,20,42,up,up,,
2013,07,11,20,43,up,up,,
2013,07,11,20,44,up,up,,
2013,07,11,20,45,up,up,,
2013,07,11,20,46,up,up,,
2013,07,11,20,47,up,up,,
2013,07,11,20,48,up,up,,
2013,07,11,20,49,up,up,,
2013,07,11,20,50,up,up,,
2013,07,11,20,51,up,up,,
2013,07,11,20,52,up,up,,
2013,07,11,20,53,up,up,,
2013,07,11,20,54,up,up,,
2013,07,11,20,55,up,up,,
2013,07,11,20,56,up,up,,
2013,07,11,20,57,up,up,,
2013,07,11,20,58,up,up,,
2013,07,11,20,59,up,up,,
2013,07,11,21,00,up,up,,
2013,07,11,21,01,up,up,,
2013,07,11,21,02,up,up,,
2013,07,11,21,03,up,up,,
2013,07,11,21,04,up,up,,
2013,07,11,21,05,up,up,,
2013,07,11,21,06,up,up,,
2013,07,11,21,07,up,up,,
2013,07,11,21,08,up,up,,
2013,07,11,21,09,up,up,,
2013,07,11,21,10,up,up,,
2013,07,11,21,11,up,up,,
2013,07,11,21,12,up,up,,
2013,07,11,21,13,up,up,,
2013,07,11,21,14,up,up,,
2013,07,11,21,15,up,up,,
2013,07,11,21,16,up,up,,
2013,07,11,21,17,up,up,,
2013,07,11,21,18,up,up,,
2013,07,11,21,19,up,up,,
2013,07,11,21,20,up,up,,
2013,07,11,21,21,up,up,,
2013,07,11,21,22,up,up,,
2013,07,11,21,23,up,up,,
2013,07,11,21,24,up,up,,
2013,07,11,21,25,up,up,,
2013,07,11,21,26,up,up,,
2013,07,11,21,27,up,up,,
2013,07,11,21,28,up,up,,
2013,07,11,21,29,up,up,,
2013,07,11,21,30,up,up,,
2013,07,11,21,31,up,up,,
2013,07,11,21,32,up,up,,
2013,07,11,21,33,up,up,,
2013,07,11,21,34,up,up,,
2013,07,11,21,35,up,up,,
2013,07,11,21,36,up,up,,
